"p1" "p3" "p4" "p6" "p13" "p16" "p19" "p21" "p23" "p25" "s18" "s19" "s20" "s22" "s23" "s25" "s27" "s29" "sA" "sB" "sC" "sD" "sE" "sF" "sG" "w22" "w23" "w25" "w27" "w29" "wA" "wB" "wC" "wD"
"1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 18.996 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1753 0 0 0 0
"3" 0 0 0 0 0 4.6706 27.1206 0 33.9101 15.552 0 0 0 0 0 0 31.9352 14.469 48.5928 39.0825 47.988 8.3948 160.3664 24.5458 17.78 0 0 0 0 0 0 1.1033 0.2909 0.434
"4" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.1288 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5" 0 0 0 0 0 0 0 0 0 0 119.9022 29.64 16.2864 195.2769 417.6231 94.3468 0 0 4.1288 0 0 0 17.5744 121.1454 0 69.543 135.4973 2.2668 1.7733 2.6213 0.0509 0.1392 0 0.2894
"6" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15.9676 72.8273 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"7" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0759 0 0 0
"8" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0759 0 0 0
"9" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0509 0 0 0
"10" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1392 0 0
"11" 0 0 0 0 0 0 0 0 0 0 10.9002 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"12" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1447
"13" 0 0 0 0 0 0 3.0134 0 0 0 0 0 0 0 0 18.996 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"14" 159.5694 80.8253 40.9122 77.292 69.2776 37.3648 21.0938 256.7355 43.6373 77.952 0 0 0 0 0 0 7.9838 0 4.1288 7.8165 0 0 17.5744 0 0 11.2802 2.0419 0.2097 1.7733 3.4936 2.252 12.5294 2.3192 5.5257
"15" 0 0 0 0 4.7348 4.6706 12.0536 0 9.7272 3.072 141.7026 41.61 43.5812 29.1096 121.4993 621.8024 190.9809 232.4686 113.3832 117.2475 317.727 75.4178 534.9208 485.3734 3.556 3.7601 0 1.0326 0.9673 1.7447 0.1269 0.9642 1.7864 1.0174
"16" 0 0 0 0 0 0 0 0 38.7737 6.24 0 0 0 0 0 0 15.9676 0 0 0 0 12.5922 0 0 0 0 0 0 0.1612 0.1753 0.025 0 0.7233 0.1447
"17" 0 0 0 0 0 0 3.0134 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.1974 0 0 0 0 0 0 0 0 0 0.1392 0.0489 0
"18" 0 2.1907 0 0 0 4.6706 3.0134 0 0 3.072 0 5.89 0 0 0 0 0 0 0 0 0 0 17.5744 72.8456 0 0 0 0 0.3224 0 0 0.2734 0.3861 0.1447
"19" 0 0 0 0 0 0 0 0 0 0 0 5.89 0 0 0 0 0 0 12.2276 0 0 0 53.2724 0 0 0 0 0 0 0 0 0 0 0
"20" 0 0 0 0 0 0 3.0134 0 9.7272 0 10.9002 5.89 0 0 0 56.3548 47.6927 87.2963 32.3952 70.3485 47.988 29.3818 53.2724 193.991 0 0 0 0.2097 0.4836 0.5259 0.025 0.1392 0.1441 0
"21" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7.8165 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"22" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.0209 0 0 0.1753 0 0 0 0
"23" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.2734 0 0
"24" 0 0 0 0 0 0 0 0 0 0 10.9002 11.97 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1392 0.0489 0.1447
"25" 0 0 0 0 0 0 0 0 0 0 10.9002 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"26" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.2097 0 0 0 0 0 0
"27" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1447
"28" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.825 0.1441 0.1447
"29" 0 0 0 0 0 0 3.0134 0 0 3.072 0 11.97 16.2864 0 13.2813 0 7.9838 0 28.4252 15.633 9.675 8.3948 17.5744 48.2998 3.556 0 0 0 0 0 0 0 0.1441 0.1447
"30" 0 0 0 0 0 0 0 0 0 0 0 5.89 0 0 0 0 0 0 4.1288 0 9.675 0 0 0 0 0 0 0 0 0 0 0 0 0
"31" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7.8165 0 0 35.698 121.1454 0 0 0 0 0 0 0 0 0 0
"32" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 18.996 0 0 0 0 9.675 4.1974 0 0 3.556 0 0 0 0 0 0.025 0 0.0489 0
"33" 0 2.1907 0 0 0 9.3412 6.0268 0 4.8636 3.072 0 5.89 0 0 0 0 0 0 0 7.8165 0 0 0 0 3.556 0 0 0 0 0 0.0509 0.5517 0.0489 0.1447
