,,spring,,,,,,,,,,summer,,,,,,,,,,,,,,,winter,,,,,,,,
Family,Species,p1,p3,p4,p6,p13,p16,p19,p21,p23,p25,s18,s19,s20,s22,s23,s25,s27,s29,sA,sB,sC,sD,sE,sF,sG,w22,w23,w25,w27,w29,wA,wB,wC,wD
ACARTIIDAE,Acartia bifilosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Acartia erythraea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,0,0,0,0
,Acartia negligence,0,0,0,0,0,0.22,2.34,0,2.51,1.62,0,0,0,0,0,0,1.52,0.3,3.06,1.35,1.24,0.62,2.92,0.31,1.4,0,0,0,0,0,0,2.22,1.13,0.93
,Acartia omori,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Acartia pacifica,0,0,0,0,0,0,0,0,0,0,4.07,1.56,1.08,4.83,8.49,1.49,0,0,0.26,0,0,0,0.32,1.53,0,19.42,51.76,2.81,3.85,6.28,0.55,0.28,0,0.62
,Acartia sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.76,1.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AETIDEIDAE,Aetideidae sp1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0
,Aetideidae sp2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0
,Aetideidae sp3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0,0,0
,Aetideidae copepodid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0
ARIETELLIDAE,Metacalanus auvivillii,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUGAPTILLIDAE,Haloptilus sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31
CALANIDAE,Calanoides carinatus,0,0,0,0,0,0,0.26,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Calanus sinicus,14.26,7.01,2.38,9.04,5.56,1.76,1.82,17.15,3.23,8.12,0,0,0,0,0,0,0.38,0,0.26,0.27,0,0,0.32,0,0,3.15,0.78,0.26,3.85,8.37,24.32,25.21,9.01,11.84
,Canthocalanus pauper,0,0,0,0,0.38,0.22,1.04,0,0.72,0.32,4.81,2.19,2.89,0.72,2.47,9.82,9.09,4.82,7.14,4.05,8.21,5.57,9.74,6.13,0.28,1.05,0,1.28,2.1,4.18,1.37,1.94,6.94,2.18
