"","X3","X5","X14","X15","X16","X20","X35","X40","X51","X52","X54","X55","X60","X72","X73","X76","X79","X80","X81","X84","X85","X86","X88","X106","X111","X112","X117","X118","X120","X123","X126","X135","X142","X145","X147","X148","X151","X158","X161","X164","X165","X166","X169","group"
"p1",0,0,14.26,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,29.32,0,0,0,0,0,0,0,0,0,1.61,0,54.02,0,0,0,0,0,0,0,0,0,0.4,1
"p3",0,0,7.01,0,0,0,0,0,0,0,0,0,0.76,0,0,0,0,0,0,0.19,55.3,0,0,0,0,0,0,0,0,0,18.75,0,16.67,0,0,0,0,0,0,0.19,0.19,0,0.38,1
"p4",0,0,2.38,0,0,0,0,0,0,0,0,0,0.95,0,0,0,0,0,0,0,59.62,0,0,0,0,0,0,0,0,0,8.08,0,28.27,0,0,0,0,0,0,0,0,0,0,1
"p6",0,0,9.04,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,64.76,0,0,0,0,0,0,0,0,0,18.37,0,3.92,0,0,0,0,0,0,0,0,0,2.11,1
"p13",0,0,5.56,0.38,0,0,3.26,1.34,0,0,0.38,0,1.53,0.77,0,0,0,0,0,3.45,42.53,0,0.38,0,1.34,0.57,0.38,0.19,0,0.19,14.94,0.57,2.3,0.77,0,0,0,0.38,8.81,0,0.19,0.96,6.32,1
"p16",0.22,0,1.76,0.22,0,0,0,1.32,0,0,0,0,4.18,1.54,0,0.22,0,0.66,0,6.81,70.33,0,1.1,0.22,0.44,0.22,0,0,0,0.22,1.32,0,0,0,0,0,0,0,2.2,0,0,0.22,2.64,1
"p19",2.34,0,1.82,1.04,0,0.26,1.56,2.34,0,0,0,0.26,4.95,2.6,0,1.04,0,0.26,0.26,5.99,40.89,0,2.6,0.26,1.3,0.78,0,0,0,6.77,1.82,2.6,1.3,0,0,0,0,0,1.56,0.78,0,0.78,5.73,1
"p21",0,0,17.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.56,32.56,0,0,0,0,0.87,0,0,0,0,24.71,0,16.86,0,0,0,0,0,0,0,0,0,0.29,1
"p23",2.51,0,3.23,0.72,2.87,0.72,2.87,1.08,0,0,0.72,0,5.73,0.72,0,2.87,1.08,0.36,1.08,7.17,24.73,0,2.15,0,1.08,0,0,0,0,12.9,0,1.08,0,0.36,0,0.72,0,2.15,1.79,0,1.08,0.72,6.09,1
"p25",1.62,0,8.12,0.32,0.65,0,2.27,2.92,0,0,3.57,0,0.65,2.6,0.32,0,0,1.62,0,7.47,41.56,0,2.6,0,4.55,0.32,0,0,1.3,2.92,1.62,2.27,0,0.32,0,0,0,0,1.62,0,0,0,2.6,1
"s18",0,4.07,0,4.81,0,0.37,0,2.59,2.59,0,0,0.37,3.7,1.85,0,0.37,0,0,0,0.74,27.78,0.74,5.19,1.48,0,6.67,0.37,0,0,4.07,3.33,2.22,0,0,3.7,2.22,0,0,0,2.22,0,0,10.37,1
"s19",0,1.56,0,2.19,0,0.31,0.31,5.31,1.25,1.25,0,0,4.06,3.44,0,0,0.31,0,0,0,21.25,4.38,10.63,0.94,0,1.25,1.25,0.31,1.25,7.5,3.13,6.25,0,0.94,4.38,0,0,0,0,2.19,0,0,5.63,1
"s20",0,1.08,0,2.89,0,0,0,0,0.72,0,0,0,2.89,1.08,0.36,0,0,0,0,0.36,18.05,0,14.44,2.89,0,1.81,1.08,7.94,1.44,0.36,0.36,21.66,1.44,0,8.66,0,0,0,0,0.36,0,0,3.25,2
"s22",0,4.83,0,0.72,0,0,0,0,1.45,0,0,0,0.72,0.97,0,0,0,0,0,0,9.9,8.7,10.87,3.62,0,2.42,7.97,12.56,0,0,0,17.63,0.48,0,8.7,0,0.24,0,0,0.72,0,0.24,4.59,2
"s23",0,8.49,0,2.47,0,0,1.37,0.27,1.1,0,1.1,0,3.29,2.19,1.1,0,0,0,0,0,9.59,0,7.4,0.27,0,3.29,0.82,1.37,1.1,3.01,6.85,10.96,0,0,8.77,0,2.74,0,0,3.84,0.55,0,14.52,2
"s25",0,1.49,0,9.82,0,0.89,2.38,0.3,0.6,0,5.06,0,1.79,2.98,0.89,0,0,0,0,0,15.48,2.38,8.63,0.6,0,11.01,1.19,0.3,0.3,1.79,0.89,10.42,0.6,2.98,0,1.49,1.19,0.3,0,0.89,2.98,0.3,4.46,2
"s27",1.52,0,0.38,9.09,0.76,2.27,4.17,0,0,0,1.52,0,0.38,9.47,1.89,0.38,0,0.38,0.38,0,7.95,2.65,25.76,0,0,4.55,6.44,0.76,0,0.76,0.76,0.38,0,0,0,0,0.38,1.52,0,0.76,0,0,7.2,2
"s29",0.3,0,0,4.82,0,1.81,0.9,0,0,0,0.3,0,0,8.13,0,0,0,0,0,0,4.22,1.2,37.65,0,0,14.16,15.36,0.6,0,0,0,2.11,0,0,0,0,1.2,0,0,0.3,0,0,0.9,2
"sA",3.06,0.26,0.26,7.14,0,2.04,5.1,0.77,0,0,0,0,0,3.06,0,0.51,0.51,0,2.3,2.3,13.52,4.34,9.95,0,0,1.28,3.57,1.02,4.85,2.04,0.26,0,0,0.26,0.26,0.26,3.06,0.51,0,4.34,0,0.26,13.52,2
"sB",1.35,0,0.27,4.05,0,2.43,6.76,2.43,0,0.27,0,0,1.35,2.7,0,0.81,1.89,0.54,0.54,2.43,10.27,0,2.16,0,0,0,1.35,0.27,0,8.65,0,0.54,0,0.54,0.27,1.62,1.08,2.16,0,12.43,0,0.54,20.81,2
"sC",1.24,0,0,8.21,0,1.24,1.49,0.75,0.75,0,0,0,1,4.23,0.75,0,0.75,0,0,0.5,12.19,2.99,14.68,0,0.25,22.14,4.23,0,0,2.49,0,0.25,0,0.25,0.25,0.5,2.49,1,0,4.48,0,0.25,2.99,2
"sD",0.62,0,0,5.57,0.93,2.17,2.79,0.93,0.62,0,0,0,0.31,7.43,0.93,0,1.24,0,0.31,1.24,14.86,0,17.34,0.31,0,7.43,5.88,0.93,0.62,1.86,0,0,0,0.62,0.62,0.93,0.93,0.62,0,3.72,0,0.62,10.84,2
"sE",2.92,0.32,0.32,9.74,0,0.97,1.95,0.32,0,0,1.62,0,0,3.57,2.92,0,5.19,2.27,1.95,1.62,17.21,1.62,2.92,0,0.65,8.12,0.97,0,0.65,3.57,0,1.95,0.32,0,0,0,0.65,0.97,0,1.62,0,0,14.94,2
"sF",0.31,1.53,0,6.13,0,2.45,1.53,0,1.53,0.61,1.23,0,0,7.98,1.53,0,0,0,0.31,0.31,3.99,7.67,1.23,0,0.31,6.44,1.53,0,0,1.23,0,3.37,0,15.34,0,0.92,0.92,0.31,0,7.36,0,0,17.18,2
"sG",1.4,0,0,0.28,0,0,0,0,0,0,0,0,0,5.06,0,0,0,0,0.28,0,3.93,0.56,57.87,0,0,7.87,10.96,0,0.56,0.28,0,2.81,0,0,0,0,0.28,0.56,0,0.28,0,0,2.25,2
"w22",0,19.42,3.15,1.05,0,0,0,0,0.52,1.31,0,0,29.92,0,0,0,0,0,0,9.45,21,0,0,6.04,0,0,0,0,0.26,0.26,0,0,0,0,3.41,0,0.26,0,0,1.57,0,0,0,3
"w23",0,51.76,0.78,0,0,0,0,0,0.39,1.18,0,0,16.47,0.78,0,0,0,0,0,7.45,11.76,0,0,3.53,0,0,0,0,2.35,0.78,0,0,0,0,0.39,0,0,0,0,0.39,0,0,0,3
"w25",0,2.81,0.26,1.28,0,0.26,0,0.51,0.77,1.02,2.56,1.02,36.06,3.32,0,0,0,0,0,8.18,34.53,0,0,2.3,0,0.77,0,0,0.77,0.51,0,0,0,0,1.02,0,0,0,0,0.26,0,0.26,0.77,3
"w27",0,3.85,3.85,2.1,0.35,1.05,0,0.7,0.7,3.15,0,2.1,22.38,1.4,0,0,0,0,0,18.18,15.73,0,0,6.64,0,4.2,0,0,1.05,0.35,0,0,0,1.05,0,0.35,0,0,0,1.05,0,0,4.2,3
"w29",0,6.28,8.37,4.18,0.42,1.26,0.42,0.84,0.42,1.26,0,0.84,7.11,1.26,0,0,0,0,0,15.06,32.22,0.42,0,0.42,0,10.04,0,0,0,0,0,0,0,0,0,0,1.67,0,0,0,0,0,1.67,1
"wA",0,0.55,24.32,1.37,0.27,0.27,0,2.46,2.73,0.55,0,2.73,16.12,0.55,0.55,0,0,0,0,15.03,9.84,0,0,1.91,0,6.56,0,0,0,0,0,0,0,1.09,0.27,0,0,0,0,0.27,0,0,1.91,3
"wB",2.22,0.28,25.21,1.94,0,0.28,1.11,4.43,0.55,1.94,0,1.94,7.76,0.83,0,0,0,0,0,5.82,4.16,0,0,6.37,0,1.11,0,0,0.83,7.2,0,0,0,0.28,0,0,0,0,0,0.83,0.83,2.49,8.31,3
"wC",1.13,0,9.01,6.94,2.81,0.56,15.01,7.32,0.19,2.63,0,0,3.19,6.75,1.13,0,0,0,0.19,8.07,6.94,0.19,0.19,2.25,0.19,0.94,0,0,0.38,1.88,0,0,0,0.19,0,0.19,0.19,0.38,0,0.75,1.5,0.19,4.88,3
"wD",0.93,0.62,11.84,2.18,0.31,0,3.12,1.56,6.85,0.93,0,0.93,20.56,1.87,0.31,0,0,0,0,7.79,8.41,0,0.62,0.62,0,1.25,0,0,4.98,2.8,0,0,0,0,0,0,0,0,0,1.25,1.25,1.87,5.3,3
