station	Depth	Temperature	Salinity	Fluorescence	DissolvedOxygen	maxT	maxS	maxF	MaxDO	FishDensity	CopepodDensity 
p1	70	14.7095	32.628	0.1075	8.2966	14.7484	32.6428	0.2015	8.301	137.3233973	1119
p3	80	13.5606	32.1065	0.2908	8.522	13.7238	32.3848	0.3293	8.5223	20.96762377	1153
p4	72	13.6611	32.2719	0.3374	8.4956	13.8992	33.0439	0.3932	8.5209	0	1719
p6	41	10.551	29.5606	0.2715	9.234	11.0311	31.3424	0.2965	9.2352	0	855
p13	56	13.6717	31.2214	0.2667	8.5491	19.3612	34.1351	0.3631	8.5671	180.7135569	1246
p16	50	18.7005	33.4288	0.3048	7.6347	20.0033	34.0795	0.9972	7.6349	88.35044664	2123
p19	46	21.3065	34.3489	0.2723	7.2354	21.322	34.3911	0.4702	7.2415	632.5247705	1159
p21	35	13.084	30.4177	0.236	8.6978	15.0415	32.8234	0.2802	8.7356	73.60188223	1497
p23	60	22.5234	34.4179	0.2376	7.0762	22.5258	34.4269	0.5652	7.0782	1021.901114	1351
p25	31	21.8362	34.3987	0.287	7.1645	21.8579	34.4576	0.3617	7.2638	555.7727097	960
S18	69	26.5465	33.8618	2.02	6.623	26.5465	34.1467	2.06	6.9237	259.6999802	2946
S19	53	26.7449	33.9166	0.803	6.599	26.7455	34.0508	0.837	6.835	138.8919005	1900
S20	48	26.34	33.9038	2.19	6.6444	26.3606	34.1188	2.23	6.8581	146.9612371	1508
S22	37	25.9467	32.4305	1.99	6.7445	26.5982	34.1489	1.99	6.8541	977.8641003	4043
S23	48	25.6567	34.0035	1.77	6.7176	25.714	34.1497	1.95	6.8541	995.9300812	4919
S25	75	26.4414	33.9346	0.42	6.6319	26.4442	34.0549	1.07	6.7766	578.5150453	6332
S27	93.5	27.947	33.499	0.475	6.4842	27.9695	33.6922	0.525	6.6783	374.8200231	2101
S29	42	27.1804	33.5755	0.295	6.564	27.1804	33.6879	0.327	6.7313	962.4935406	4823
SA	163	27.3103	33.7469	0.369	6.5436	27.3795	34.5036	0.506	7.8885	310.2410929	1588
SB	150	29.0218	33.5895	0.084	6.3685	29.0589	34.5855	0.666	8.0942	422.5326798	2895
SC	124	28.4068	33.6345	0.16	6.4308	28.4112	33.9045	0.24	6.7758	580.9813569	3870
SD	132	28.6382	33.5486	0.211	6.4097	28.6398	34.3752	0.453	7.6274	824.6897472	1354
SE	75	28.2989	32.9644	0.453	6.4662	28.3075	33.5849	0.482	6.5133	957.4007107	5492
SF	68	26.8477	33.8244	0.269	6.5912	26.8477	33.9608	0.637	6.7596	495.8983791	7918
SG	56	28.5394	33.1815	0.213	6.4331	28.5398	33.2443	0.218	6.4337	76.48993335	1270
W22	37	19.647	28.6846	0.444	7.7137	20.3693	29.9482	0.502	7.7167	53.15874725	358.1
W23	48	20.4814	30.2087	0.327	7.5263	22.1499	32.3749	0.336	7.5498	26.05935668	261.78
W25	75	22.2383	32.1028	0.258	7.2086	23.2758	33.193	0.278	7.2093	23.71520478	80.67
W27	93.5	23.4461	33.5861	0.171	6.9954	23.4639	33.5865	0.254	6.9954	2.52	46.06
W29	42	21.6586	33.6551	0.228	7.2186	21.6649	33.6777	0.257	7.231	9.238857271	41.74
WA	163	20.2487	33.9794	0.198	7.3927	20.2547	34.5936	0.221	7.839	3.319892182	9.26
WB	150	23.615	34.3125	0.198	6.9456	23.828	34.7033	0.223	7.7682	3.677129806	49.7
WC	124	24.1945	34.3214	0.337	6.8756	24.4827	34.6971	0.408	7.5489	16.12449853	25.74
WD	132	21.7928	33.9308	0.566	7.1896	21.8016	34.6179	0.596	7.6411	10.97653698	46.67
