AREA,id,SL,ML,HH1,HH2,HL1,HD1,HD2,HL2,BD2,BD5,BD6,BL1,BL4,PFL1,PFL2,AFL,PH,DFL,CL1,CL2
1,a1,-0.5504,-0.0625,-0.8329,-0.5395,-0.4354,-0.1182,-0.3698,-0.4980,0.4824,0.7278,0.7945,0.4018,0.5452,0.0678,-0.4743,0.8051,0.2191,-0.1329,0.1265,0.2186
1,a2,-0.4705,0.0033,-0.8657,-0.5831,-0.4470,-0.1451,-0.4186,-0.5531,0.4499,0.7952,0.8440,0.4168,0.6840,0.0299,-0.3914,0.8053,0.2163,-0.2130,0.0835,0.1628
1,a3,-0.3385,0.1353,-0.9482,-0.5901,-0.4047,-0.1625,-0.4585,-0.6035,0.4674,0.7094,0.8755,0.4002,0.5825,0.0891,-0.3728,0.8462,0.1646,-0.1827,0.0829,0.1241
1,a4,-0.3253,0.0858,-0.9810,-0.5788,-0.4195,-0.1401,-0.4462,-0.5185,0.4939,0.6987,0.7761,0.4333,0.5472,0.0484,-0.3958,0.7241,0.2084,-0.1902,0.1492,0.1966
1,a5,-0.3332,0.0978,-0.9080,-0.5617,-0.3530,-0.1002,-0.3907,-0.4860,0.4305,0.7039,0.7480,0.3409,0.5489,0.0798,-0.4558,0.7161,0.1962,-0.1792,0.0568,0.2275
1,a6,-0.3972,0.0468,-0.9361,-0.5639,-0.4034,-0.1483,-0.4121,-0.5449,0.4781,0.7060,0.7586,0.4262,0.5315,0.0991,-0.3975,0.6703,0.2576,-0.2005,0.0997,0.2890
1,a7,-0.3697,0.0629,-0.8498,-0.5770,-0.4785,-0.0822,-0.4307,-0.4378,0.4125,0.7633,0.8299,0.3659,0.6688,0.0341,-0.4239,0.7646,0.1472,-0.1856,0.0615,0.1115
1,a8,-0.4354,0.0065,-0.9190,-0.5763,-0.4512,-0.0958,-0.4482,-0.4589,0.4374,0.8024,0.8188,0.3889,0.6952,0.1080,-0.3705,0.7202,0.2349,-0.1806,-0.0204,0.1128
1,a9,-0.4664,-0.0036,-0.8693,-0.5420,-0.4778,-0.0862,-0.4363,-0.4686,0.4501,0.7350,0.8721,0.3707,0.6618,-0.0270,-0.4181,0.8032,0.1908,-0.1312,0.0997,0.1403
1,a10,-0.4696,0.0378,-0.8163,-0.6025,-0.4408,-0.1187,-0.4177,-0.5286,0.4649,0.7424,0.8184,0.4046,0.6581,0.0678,-0.4340,0.7796,0.1419,-0.2392,0.1519,0.1904
1,a11,-0.4940,0.0235,-0.8892,-0.5250,-0.3713,-0.0621,-0.4067,-0.4594,0.4512,0.7276,0.8383,0.4109,0.6253,-0.0010,-0.4522,0.7508,0.1956,-0.1946,0.0602,0.1444
1,a12,-0.4090,0.0308,-0.8825,-0.5728,-0.3875,-0.1471,-0.3609,-0.5104,0.4358,0.7462,0.8050,0.3776,0.5803,0.0324,-0.4239,0.7298,0.2814,-0.1569,0.0233,0.1989
1,a13,-0.4729,0.0079,-0.9605,-0.6031,-0.4814,-0.1430,-0.4843,-0.5239,0.5029,0.7599,0.8194,0.4431,0.6271,0.0717,-0.4381,0.7795,0.2521,-0.1241,0.1216,0.2366
1,a14,-0.3576,0.0407,-1.0847,-0.6216,-0.3580,-0.1182,-0.4301,-0.4213,0.3986,0.7096,0.9020,0.3157,0.6710,0.0990,-0.3448,0.8086,0.1546,-0.0766,0.0445,0.0815
