SITE,ITAME,MEPI,CIME,ANST,CAHE,BARE,ACAL,APDE,PSCA,EUMA
4,0.000,0.000,0.000,1.000,1.000,0.000,0.667,2.500,0.000,0.000
5,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.500,0.000
6,0.000,2.000,0.000,0.000,2.500,0.000,0.667,10.000,0.000,0.000
7,0.000,0.000,3.000,5.000,0.000,1.667,0.500,2.333,1.500,0.000
8,0.000,0.000,0.000,0.000,4.500,0.000,0.667,4.000,3.000,0.750
9,5.000,0.000,0.000,6.333,1.000,1.667,16.667,1.333,7.000,2.750
10,8.000,0.000,0.000,4.333,4.000,3.500,5.333,4.500,4.500,1.000
11,1.500,0.000,0.000,1.667,0.000,2.000,0.667,1.000,0.000,1.000
12,0.000,0.000,0.000,0.000,1.000,0.000,0.000,1.500,0.000,1.500
13,0.000,0.000,0.000,0.000,0.000,7.500,0.000,11.500,0.000,0.000
14,0.000,0.000,0.000,0.000,0.000,0.000,0.667,1.000,0.000,0.000
15,6.000,0.000,0.000,2.000,0.000,0.000,0.000,12.000,0.000,0.750
16,4.000,0.000,3.000,0.000,2.500,0.000,1.250,2.667,0.000,0.000
17,6.000,2.000,2.500,4.333,0.000,0.000,0.000,0.000,0.000,0.000
18,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,2.500,0.000
19,0.000,0.000,3.000,0.000,1.000,0.000,3.000,0.000,0.000,0.000
20,0.000,0.000,0.000,0.000,1.500,0.000,0.000,0.667,2.000,0.000
23,0.000,0.000,0.000,5.200,0.000,0.000,1.429,7.500,0.000,0.000
24,0.000,1.500,0.000,7.600,2.667,0.000,0.333,5.333,0.000,0.833
25,0.000,0.000,0.000,0.000,0.667,0.000,1.000,2.333,0.000,0.000
26,15.500,0.000,0.000,2.000,0.667,1.250,7.714,5.750,0.000,2.167
27,0.000,0.000,0.000,0.000,0.000,1.250,0.000,0.667,0.000,0.000
37,0.000,2.667,0.667,3.375,0.000,0.286,0.429,5.500,0.000,0.000
38,3.000,0.000,0.000,15.444,1.000,0.500,11.500,7.800,8.000,0.300
