SITE,CONTAG5,PLAND3S,PLAND4P,PLAND5M,PLAND5T,PD1S,PD2FP,PD3T,AREA5T,AREA,GYR,PARA,FRAC,CORE,ECON,CAN.M,SO.M,BL.HU,CH.OAK,PPSAP,BL.OAKSAP,WH.OAKSAP,OTH.SHRUB,GRASSHERB,BARE
4,64.025,0,0,47.1315,9.2565,0,0,1.7767,6.9433,86.68,495.9977,94.8316,1.1158,67.69,68.747,1,64,90,13,29,1,1,39,0,4
5,68.2288,0,0,52.1141,7.3544,0,0,2.666,5.5167,86.68,495.9977,94.8316,1.1158,67.69,68.747,69,40,98,12,1,24,6,49,0,0
6,61.6093,0,1.35,45.6689,12.6366,0,0,1.7776,13.505,1855.02,2453.3252,61.7028,1.2263,1592.92,70.4403,80,16,98,4,4,5,0,51,0,0
7,60.2422,10.6768,3.9316,44.7561,11.1959,0,10.8755,2.9949,7.115,16.4,254.6909,204.878,1.1215,8.77,67.4702,85,83,47,41,13,2,1,77,1,3
8,61.2902,10.8336,5.2347,26.5427,39.1996,0,0,2.6662,35.282,108.14,626.4768,89.8835,1.1222,86.63,61.5329,40,54,63,11,29,2,3,27,13,0
9,67.8901,25.9243,4.969,20.5173,46.5493,14.2045,0,2.6662,34.9167,16.3,157.7686,136.1963,1.053,11.66,56.5766,1,70,76,26,3,0,0,75,4,6
10,65.4343,21.8303,4.9684,25.5694,40.7981,14.1844,3.5486,3.554,36.724,190.43,682.9702,77.6138,1.1362,157.91,37.3748,32,55,28,7,22,0,5,84,8,8
11,62.4252,0.6446,3.9478,34.0023,3.6811,0,0,0,4.705,19.73,254.9799,181.4496,1.1149,11.81,54.4134,97,18,87,0,0,7,29,56,5,2
12,65.8406,0.2842,5.0569,60.0946,6.7536,0,0,0.8882,15.07,190.43,682.9702,77.6138,1.1362,157.91,37.3748,71,37,90,4,3,15,2,13,1,7
13,67.515,0,5.404,55.9298,0.6629,0,0,0,1.23,24.93,213.7392,123.5459,1.0697,18.6,61.2987,75,70,64,3,7,0,8,88,0,3
14,61.9001,0,0,45.441,0,0,0,0,0,219.84,670.646,78.1477,1.1457,181.47,81.6647,85,53,52,0,13,5,23,10,1,9
15,59.7472,0.0089,0,36.9542,0.8334,0,0,0,1.875,92.95,471.9942,76.3852,1.0888,77.23,81.8732,81,77,88,30,2,4,16,25,4,1
16,60.0452,20.6026,0,44.3911,2.2329,0,17.7809,0,3.35,92.95,471.9942,76.3852,1.0888,77.23,81.8732,59,89,99,37,7,2,9,50,0,0
17,64.9621,16.7378,0,58.6907,1.8133,14.1643,21.322,0,2.72,54.34,429.1291,148.6934,1.1527,36.07,62.6114,0,83,68,44,0,2,10,81,0,0
18,72.5251,0,0,74.2059,4.8758,0,0,0.8888,4.39,6.3,132.7871,279.3651,1.1016,2.7,58.5227,79,0,99,0,29,24,19,48,0,0
19,62.9574,23.7604,0,57.1794,3.873,14.2045,28.4698,0,5.81,54.34,429.1291,148.6934,1.1527,36.07,62.6114,70,39,87,0,3,0,58,56,0,2
20,75.9156,0,0,77.3182,2.768,0,0,0,6.23,1855.02,2453.3252,61.7028,1.2263,1592.92,70.4403,52,76,83,21,2,1,17,60,8,1
23,62.4187,0,0,31.9017,14.3355,0,3.5549,0,12.904,86.68,495.9977,94.8316,1.1158,67.69,68.747,88,45,100,6,1,8,3,66,0,0
24,62.7786,10.0542,5.5222,36.8025,33.0549,0,0,1.7764,24.8,51.7,376.0654,105.2224,1.0969,40.07,63.125,5,65,92,10,11,23,4,10,6,4
25,64.7396,0,5.1636,47.5102,23.3409,0,7.0771,2.6648,21.018,51.7,376.0654,105.2224,1.0969,40.07,63.125,88,22,97,0,0,14,19,15,2,1
26,63.4836,24.5625,4.7581,41.2741,20.7537,14.2248,0,1.7767,15.5667,151.2,678.5565,100,1.1578,118.05,56.1243,5,88,89,9,8,0,15,97,0,0
27,68.0328,0.8529,5.0306,58.8151,0,0,0,0,0,190.43,682.9702,77.6138,1.1362,157.91,37.3748,79,14,81,0,1,29,22,33,4,1
37,65.1567,0,0,57.9119,11.7024,0,0,1.7771,5.8522,7.14,108.3634,232.493,1.0788,3.77,62.6506,21,80,96,18,0,2,13,75,0,0
38,63.209,31.9527,4.2716,35.859,23.1424,14.1643,0,6.2217,14.8786,151.2,678.5565,100,1.1578,118.05,56.1243,5,60,69,2,12,0,6,63,6,0
