SITE,CONTAG5,PLAND3S,PLAND4P,PLAND5M,PLAND5T,PD1S,PD2FP,PD3T,AREA5T
4,64.025,0,0,47.1315,9.2565,0,0,1.7767,6.9433
5,68.2288,0,0,52.1141,7.3544,0,0,2.666,5.5167
6,61.6093,0,1.35,45.6689,12.6366,0,0,1.7776,13.505
7,60.2422,10.6768,3.9316,44.7561,11.1959,0,10.8755,2.9949,7.115
8,61.2902,10.8336,5.2347,26.5427,39.1996,0,0,2.6662,35.282
9,67.8901,25.9243,4.969,20.5173,46.5493,14.2045,0,2.6662,34.9167
10,65.4343,21.8303,4.9684,25.5694,40.7981,14.1844,3.5486,3.554,36.724
11,62.4252,0.6446,3.9478,34.0023,3.6811,0,0,0,4.705
12,65.8406,0.2842,5.0569,60.0946,6.7536,0,0,0.8882,15.07
13,67.515,0,5.404,55.9298,0.6629,0,0,0,1.23
14,61.9001,0,0,45.441,0,0,0,0,0
15,59.7472,0.0089,0,36.9542,0.8334,0,0,0,1.875
16,60.0452,20.6026,0,44.3911,2.2329,0,17.7809,0,3.35
17,64.9621,16.7378,0,58.6907,1.8133,14.1643,21.322,0,2.72
18,72.5251,0,0,74.2059,4.8758,0,0,0.8888,4.39
19,62.9574,23.7604,0,57.1794,3.873,14.2045,28.4698,0,5.81
20,75.9156,0,0,77.3182,2.768,0,0,0,6.23
23,62.4187,0,0,31.9017,14.3355,0,3.5549,0,12.904
24,62.7786,10.0542,5.5222,36.8025,33.0549,0,0,1.7764,24.8
25,64.7396,0,5.1636,47.5102,23.3409,0,7.0771,2.6648,21.018
26,63.4836,24.5625,4.7581,41.2741,20.7537,14.2248,0,1.7767,15.5667
27,68.0328,0.8529,5.0306,58.8151,0,0,0,0,0
37,65.1567,0,0,57.9119,11.7024,0,0,1.7771,5.8522
38,63.209,31.9527,4.2716,35.859,23.1424,14.1643,0,6.2217,14.8786
