site,x,y,x.2,y.2,xy,x.2y,xy.2,x.2y.2
4,-0.90763425,0.043456425,0.701348981,0.001943613,-0.055664356,0.030739107,-0.001801455,0.001617033
5,-0.945836022,-0.017026021,0.761630134,0.000298351,0.02272696,-0.013078573,-0.000288169,0.000269555
6,-1.118260237,0.180948497,1.064628736,0.033698591,-0.285568422,0.194292591,-0.038481987,0.042558359
7,-1.092964469,1.388839205,1.017008321,1.985206658,-2.142250886,1.42455608,-2.215718726,2.39499807
8,0.254422362,1.122646114,0.055109057,1.297142064,0.403097847,0.062397751,0.337012248,0.084797971
9,0.691161542,1.018560044,0.406697543,1.067763473,0.993524362,0.417793098,0.753628799,0.51513558
10,0.915209774,0.950341472,0.713105388,0.929525164,1.227474987,0.683496785,0.868729686,0.786302774
11,2.241430759,0.369428677,4.277234623,0.140463342,1.168606377,1.593663973,0.321507558,0.712690565
12,1.665822974,0.762564576,2.362490733,0.598487441,1.792742003,1.816978619,1.018091356,1.677258854
13,1.961628589,0.647929242,3.276015769,0.432072822,1.793728394,2.140802686,0.865518975,1.679105064
14,0.821770304,-0.899647761,0.574927795,0.833003441,-1.043362604,-0.52166162,0.699036898,0.568113408
15,0.234288996,-0.937625111,0.046732197,0.904815951,-0.310022662,-0.044192494,0.216478615,0.050159291
16,0.014886926,-0.928834058,0.000188679,0.887928613,-0.019514412,-0.000176752,0.013498513,0.000198735
17,-0.228262192,-0.975954103,0.044358861,0.980303553,0.314395049,-0.043662928,-0.228505902,0.051584105
18,-0.668615053,-0.843736663,0.380596438,0.732682182,0.796150901,-0.323872979,-0.50025869,0.33079222
19,-0.192641621,-0.911251951,0.031594586,0.854631175,0.247742728,-0.029037165,-0.168124775,0.032030693
20,-0.648997927,-1.051205518,0.358590713,1.137305272,0.962815917,-0.38018042,-0.75374288,0.483783474
23,-0.785801571,0.1584434,0.525700275,0.025837477,-0.175711169,0.084006992,-0.020733177,0.016112511
24,0.088709269,1.344883939,0.006699624,1.861535841,0.168370549,0.009087372,0.168633272,0.01479438
25,-0.06461406,1.247127427,0.003554401,1.600749774,-0.11372349,0.00447075,-0.105621745,0.006749395
26,1.257993244,0.666214633,1.347314663,0.456804236,1.182782243,0.905286992,0.586828628,0.730086129
27,2.062811662,0.778740113,3.622693356,0.62414699,2.267067462,2.845294323,1.314768588,2.682213804
37,-0.568464461,-0.642949008,0.275118032,0.425456193,0.515812865,-0.178401567,-0.24697957,0.138850947
38,1.195528184,0.628588925,1.216836019,0.406663541,1.060568841,0.771439475,0.49647561,0.587005584
